commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
PERFECTION SCAR GEL 50 G,بيرفيكتيون سكار,TRIPLE SILICONE+OMEGA 3,SMARTEC PHARMACEUTICALS AND COSMETICS > PERFECTION PHARMACEUTICALS,SCAR THERAPY,TOPICAL,555.0
PERFECTODIL 5% TOP.SOLUTION 60 ML,بيرفيكتوديل 5% توب,MINOXIDIL,EGPI,HAIR REGROWTH.VASODILATOR AGENTS,UNKNOWN,97.0
PERFORM TOP. GEL 25 GM,بيرفورم توب,MENTHOL+CAMPHOR,HI-CARE > INTERNATIONAL MEDICAL GUIDE,MASSAGE CREAM,TOPICAL,9.9
PERFORMA EXTRA STRENGTH 5% TOP. SOLN. 60 ML,بيرفورما إكسترا سترينجث 5% توب,MINOXIDIL,DELTA PHARMA > ANDALOUS PHARMA,ANTIHYPERTENSIVES.HAIR REGROWTH.VASODILATOR AGENTS,UNKNOWN,156.0
PERFOTADA 30 CAPS.,بيرفوتادا,,TADAWENA,,ORAL.SOLID,270.0
PERI-LACTATE (C) IN GLUCOSE 4.25 % (1000ML) (N/A),بيري-لاكتاتي إن جلوكوسي 4.25 %,SODIUM CHLORIDE,OTSUKA,STERILE SOLUTION,INJECTION,6.0
PERI-LACTATE (C) IN GLUCOSE 4.25 % (2000ML) (N/A),بيري-لاكتاتي إن جلوكوسي 4.25 %,SODIUM CHLORIDE,OTSUKA,NORMAL SALINE,INJECTION,9.25
PERIDOL 100MG I.M. AMP.,بيريدول,HALOPERIDOL,ADWIA > COPAD PHARMA,PSYCHIATRIC.ANTIPSYCHOTICS,INJECTION,45.0
PERIDOMAGIC 6 MG 10 EXT. REL TABS.,بيريدوماجيك 10 إكست. ريل,PALIPERIDONE,MEDIZEN PHARMACEUTICAL INDUSTRIES > MAGIC PHARMA-EGYPT,PSYCHIATRIC.ANTIPSYCHOTICS,ORAL.SOLID,54.0
PERIMETRO LIGHTENING CREAM 50 ML,بيريميترو ليغتينينج,,COSMO PACK > COSMOCARE,WHITENING TOPICAL,TOPICAL,135.0
PERIMETRO LIGHTENING SOAP 90 GM,بيريميترو ليغتينينج سواب,,COSMO PACK > COSMOCARE,WHITENING TOPICAL,SOAP,65.0
PERIN FIRMING CREAM 220 ML,بيرين فيرمينج,,EGYPTIAN COMPANY FOR COSMETICS > CARE MID-EAST PHARMA,FIRMING TOPICAL,TOPICAL,65.0
PERINDOCOMB 2/0.625MG 10 F.C.TAB (N/A),بيريندوكومب 2/,INDAPAMIDE+PERINDOPRIL,INTERNATIONAL DRUG AGENCY (IDI),ANTI-HYPERTENSIVE.COMBINED ACE WITH DIURETIC,ORAL.SOLID,10.5
PERINDOCOMB 4/1.25MG 10 F.C. TAB. (N/A),بيريندوكومب 4/,INDAPAMIDE+PERINDOPRIL,INTERNATIONAL DRUG AGENCY (IDI),ANTI-HYPERTENSIVE.COMBINED ACE WITH DIURETIC,ORAL.SOLID,14.0
PERIOCARE MOUTH SPRAY 50ML,بيريوكاري موث,CLOVE OIL+PEPPERMINT OIL+CALENDULA EXTRACT+MYRRH OIL+SAGA OIL+THYMOL+TEA TREE OIL,ITALIAN > ZIAX,ANALGESIC  ANTI-INFLAMMATORY & ANTISEPTIC MOUTH SPRAY,UNKNOWN,65.0
PERIOCARE MOUTH WASH 120ML,بيريوكاري موث واش,CHLOROHEXIDINE+EUCALYPTUS+CLOVE OIL+THYMOL+TEA TREE OIL+PEPPERMINT OIL+CALENDULA ECTRACT,ITALIAN CO. > ZIAX,MOUTH WASH,MOUTH,58.0
PERIPHEBA 30 CAPSULE,بيريفيبا,BENFOTIAMINE 150MG+METHYLCOBALAMINE 500MCG+FOLATE 170 MCG VIT B610MG+VIT B2 10MG+VIT B5 50MG,COPAD EGYPT > BIOTREATS PHARMACEUTICALS,VITAMIN B COMPLEX,ORAL.SOLID,150.0
PERIPHEBA SLT 30 TAB,بيريفيبا سلت,METHYLCOBALAMINE1000 MICROGRAM+FOLIC ACID 400 MICROGRAM+PYRIDOXINE 2 MG,DAWA EGYPT INTERNATIONAL > BIOTREATS PHARMACEUTICALS,MULTIVITAMIN,ORAL.SOLID,118.5
PERITONEAL DIALYSIS SOL. WITH GLUCOSE 1.36 % W/V,بيريتونيال دياليسيس . ويث جلوكوسي 1.36 % و/ف,SODIUM CHLORIDE,BAXTER > HIKMA PHARMA,NORMAL SALINE,UNKNOWN,7.5
PERITONEAL DIALYSIS SOL. WITH GLUCOSE 2.27 % W/W,بيريتونيال دياليسيس . ويث جلوكوسي 2.27 % و/و,SODIUM CHLORIDE,BAXTER > HIKMA PHARMA,NORMAL SALINE,UNKNOWN,7.5
PERITONEAL DIALYSIS SOL. WITH GLUCOSE 3.86 % W/V,بيريتونيال دياليسيس . ويث جلوكوسي 3.86 % و/ف,SODIUM CHLORIDE,BAXTER > HIKMA PHARMA,NORMAL SALINE,UNKNOWN,7.5
PERITONEAL DIALYSIS SOLUTION (ACETATE) IN GLUCOSE 1.7% (1000ML),بيريتونيال دياليسيس إن جلوكوسي 1.7%,CALCIUM CHLORIDE+GLUCOSE (DEXTROSE)+MAGNESIUM CHLORIDE+SODIUM ACETATE+SODIUM CHLORIDE,OTSUKA,STERILE SOLUTION,UNKNOWN,21.0
PERITONEAL DIALYSIS SOLUTION (LACTATE) IN GLUCOSE 4.25 % (1000ML),بيريتونيال دياليسيس إن جلوكوسي 4.25 %,CALCIUM CHLORIDE+GLUCOSE (DEXTROSE)+MAGNESIUM CHLORIDE+SODIUM CHLORIDE+SODIUM LACTATE,OTSUKA,STERILE SOLUTIONS,UNKNOWN,24.0
PERJETA 420MG/14ML VIAL FOR I.V. INF.,بيرجيتا /,PERTUZUMAB,F.HOFFMAN LA ROCHE,ANTINEOPLASTIC,INJECTION,43200.0
PERLOC 40MG 14 F.C.TAB.,بيرلوك,PANTOPRAZOLE,EUROPEAN EGYPTIAN PHARM. IND.,PEPTIC ULCER.PROTON PUMP INHIBITOR,ORAL.SOLID,75.0
PERLOC 40MG POWDER FOR I.V. INF. VIAL,بيرلوك,PANTOPRAZOLE,CHEMIPHARM > EUROPEAN EGYPTIAN PHARM. IND.,PEPTIC ULCER.PROTON PUMP INHIBITOR,INJECTION,89.0
PERMAX 100MG/5ML SUSP. 30ML,بيرماكس /,MEBENDAZOLE,EIPICO,ANTHELMINTIC,ORAL.LIQUID,10.0
PERNY CREAM 75 GM,بيرني,MINERAL OIL+PROMULGEN D+PROPYLENE GLYCOL+ALLANTOIN+GLYCERIN+PANTHENOL+VITAMIN E+METHYL PARABEN+FRAGR,NIKIM CO. > ADMIN PHARMA,MOISTURIZING TOPICAL,TOPICAL,36.0
PEROLEAD 10 MG 10 ORAL DIS. TABS.,بيرولياد 10 أورال ديس,MIROGABALIN,TOLEAD > P&C,ANTI-EPILEPTIC.GABA ANALOGS,ORAL.SOLID,182.0
PEROLEAD 15 MG 10 ORAL DIS. TABS.,بيرولياد 10 أورال ديس,MIROGABALIN,TOLEAD > P&C,ANTI-EPILEPTIC.GABA ANALOGS,ORAL.SOLID,220.0
PEROLEAD 5 MG 20 ORAL DIS. TABS.,بيرولياد 20 أورال ديس,MIROGABALIN,TOLEAD > P&C,ANTI-EPILEPTIC.GABA ANALOGS,ORAL.SOLID,264.0
PERPDEL 100 GM MASSAGE GEL,بيربديل ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS+EUCALYPTUS OIL+ALLANTOIN+ALMOND OIL,ECC > ATLANTIC GROUP,MASSAGE GEL,TOPICAL,79.0
PERROXY 6.5% EAR DROPS 15 ML,بيرروكسي 6.5% إار,CARBAMIDE PEROXIDE,PHAROPHARMA,EARWAX REMOVER,EAR,6.75
PERSANTIN 75MG 20 TAB.,بيرسانتين,DIPYRIDAMOLE,CID > BOEHRINGER INGELHEIM,ANTIPLATLET.PHOSPHODIESTRASE 5 INHIBITOR,ORAL.SOLID,10.0
PERUNITY 100 MG 10 SACHETS,بيرونيتي,LACTOFERRIN+VITAMIN C+VITAMIN E+SELENIUM+ZINC+COLOSTRUM,MEDCARE > PRATICO PHARMACEUTICAL,IMMUNITY BOOSTER + IRON SUPPLEMENT,EFF,72.0
PETHIDINE 100MG/2ML 1 AMP. (NET PRICE),بيثيديني /,PETHIDINE,MISR,ANALGESICS.NARCOTIC OPIOID,INJECTION,6.0
PETHIDINE 50MG/ML 10 AMP. (NET PRICE),بيثيديني /مل,PETHIDINE,MISR,ANALGESICS.NARCOTIC OPIOID,INJECTION,42.5
PETRO 30 TABS.,بيترو,CAFFEINE+DROTAVERINE+PARACETAMOL(ACETAMINOPHEN),ALFACURE PHARMACEUTICALS,ANTISPASMODIC WITH ANALGESIC,ORAL.SOLID,69.0
PETTIX CREAM 50 GM,بيتتيكس,PANTHENOL 5%+ALOVERA EXTRACT 5%+VITAMIN A+VITAMIN E+BHT,COSMOPACK > IBM PHARMA,SKIN CARE.HEALING,TOPICAL,70.0
PEVARYL 1% TOPICAL CREAM 15 GM,بيفاريل 1%,ECONAZOLE,MINA PHARM > JANSSEN CILAG,ANTIFUNGALS.IMIDAZOLES,TOPICAL,7.0
PEVISONE CREAM 15 GM,بيفيسوني,ECONAZOLE+TRIAMCINOLONE,MINA PHARM > JANSSEN CILAG,GLUCOCORTICOID WITH ANTIFUNGAL,TOPICAL,7.5
PEXAL-400 DEPOTABS S.R. 20 TAB.,بيكسال-400 ديبوتابس س.ر,PENTOXIFYLLINE,MUP > ACINO,ANTI-ISCHEMIC,ORAL.SOLID,26.25
PEXO SOAP 80 GM,بيكسو سواب,,HI-CARE > VIOLINE,SOAP,SOAP,15.0
PEXO TOPICAL LOTION 50 GM,بيكسو,,HI-CARE > VIOLINE,ANTI-ACNE,UNKNOWN,65.0
PEXONAMIDE 14 MG 30 TAB,بيكسوناميدي,TERIFLUNOMIDE,MULTI-APEX,IMMUNOSUPPRESSANT,ORAL.SOLID,7221.0
PHARA FERO 18 - 20 CAPS.,فارا فيرو 18,IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,64.0
PHARA FERO 18 - 30 CAPS.,فارا فيرو 18,IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,180.0
PHARA FERO 18 PLUS - 20 CAPS.,فارا فيرو 18 بلوس,LACTOFERRIN+IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,275.0
PHARA FERO 27 - 20 CAPS.,فارا فيرو 27,IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,185.0
PHARA FERO 27 - 30 CAPS.,فارا فيرو 27,IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,144.0
PHARA FERO 27 PLUS - 20 CAPS.,فارا فيرو 27 بلوس,LACTOFERRIN+IRON+ZINC+COPPER+MOLYBDENUM+VITAMINS(B1+B2+B3+B5+B6+B7+B8+B9+B12)+BETA-CAROTENE+VITAMIN C+VITAMIN E,DELTA PHARMA > DEVARTLAB PHARMA,IRON SUPPLEMENT,ORAL.SOLID,185.0
PHARCO-VAP OINT.,فاركو-فاب,CAMPHOR+EUCALYPTUS OIL+MENTHOL+METHYL SALICYLATE+THYMOL,PHARCO,.,TOPICAL,6.25
PHARCOBENZYL 25% LOTION 120 ML,فاركوبينزيل 25%,BENZYL BENZOATE,PHARCO,SCABICIDAL,UNKNOWN,4.5
PHARCOCINOLONE 40MG/ML I.M AMP.,فاركوسينولوني /مل,TRIAMCINOLONE ACETONIDE,CHEMIPHARM > PHARCO B,ANTI-INFLAMMATORY.GLUCOCORTICOID.,INJECTION,8.0
PHARMA PRED 1% EYE DROPS (SUSP.) 5 ML,فارما بريد 1% إيي,PREDNISOLONE,RAMEDA > PHARCO,GLUCOCORTICOID,EYE,43.0
PHARMA-FLAM 100 MG 20 F.C. TABS.,فارما-فلام,ACECLOFENAC,COPAD PHARMA > ELIXIR PHARMA,NSAID.ACETIC ACID DERIVATIVES,ORAL.SOLID,22.5
PHARMABETIC 100 MG 30 F.C.TAB.,فارمابيتيك,SITAGLIPTIN,ADWIA,ANTI-DIABETIC.SECRETAGOGUES.DPP-4 INHIBITORS,ORAL.SOLID,253.5
PHARMABETIC 50 MG 30 F.C.TAB.,فارمابيتيك,SITAGLIPTIN,ADWIA,ANTI-DIABETIC.SECRETAGOGUES.DPP-4 INHIBITORS,ORAL.SOLID,153.0
PHARMABETIC PLUS 50/1000MG 30 F.C. TABS.,فارمابيتيك بلوس 50/,METFORMIN+SITAGLIPTIN,ADWIA,ANTI-DIABETIC.COMBINED SECRETAGOGUES+SENSITIZERS,ORAL.SOLID,157.5
PHARMABETIC PLUS 50/500MG 30 F.C. TABS.,فارمابيتيك بلوس 50/,METFORMIN+SITAGLIPTIN,ADWIA,ANTI-DIABETIC.SECRETAGOGUES.DPP-4 INHIBITORS,ORAL.SOLID,157.5
PHARMABILAST 12.5MG/5ML SYRUP 120 ML,فارمابيلاست /,BILASTINE,PHARMA CURE PHARMACEUTICALS,ANTI-HISTAMINE.SECOND-GENERATION,ORAL.LIQUID,64.0
PHARMABILAST 20 MG 20 TABS.,فارمابيلاست,BILASTINE,PHARMA CURE PHARMACEUTICALS,ANTI-HISTAMINE.SECOND-GENERATION,ORAL.SOLID,92.0
PHARMACERIS A-OPTI-SENSILIUM DUO ACTIVE ANTI-WRINKLE EYE CREAM 15 ML,فارماسيريس أ-أوبتي-سينسيليوم دوو أكتيفي أنتي-ورينكلي إيي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,230.0
PHARMACERIS A-PURI-SENSILIUM SOOTHING FOAM FACE & EYE CLEANSING 150 ML,فارماسيريس أ-بوري-سينسيليوم سوثينج فاسي & إيي كليانسينج,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,UNKNOWN,190.0
PHARMACERIS A-SENSILIX DUO CONCENTRATE WITH VIT. A & E 30 ML,فارماسيريس أ-سينسيليكس دوو كونسينتراتي ويث فيت. أ & إ,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,UNKNOWN,350.0
PHARMACERIS A-ULTRA-SENSILIUM CREAM 30 ML,فارماسيريس أ-أولترا-سينسيليوم,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,260.0
PHARMACERIS E-EMOTOPIC EMOLLIENT BARRIER FACE & BODY CREAM 75 ML,فارماسيريس إ-إموتوبيك إموللينت باررير فاسي & بودي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,155.0
PHARMACERIS E-EMOTOPIC EMOLLIENT WASH GEL 400 ML,فارماسيريس إ-إموتوبيك إموللينت واش,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,249.0
"PHARMACERIS E-EMOTOPIC HYDRATING AND LIPID-REPLENISHING 
BODY BALM",فارماسيريس إ-إموتوبيك هيدراتينج أند ليبيد-ريبلينيشينج بودي بالم,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,350.0
PHARMACERIS E-EMOTOPIC LIPID-REPLENISHING FORMULA 3 IN1,فارماسيريس إ-إموتوبيك ليبيد-ريبلينيشينج فورمولا 3 إن1,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,425.0
PHARMACERIS E-EMOTOPIC SPECIAL LIPID-REPLENISHING CREAM 75 ML,فارماسيريس إ-إموتوبيك سبيسيال ليبيد-ريبلينيشينج,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,140.0
PHARMACERIS F-FLUID FOUNDATION SPF50+ 01 IVORY PROTECTIVE-CORRECTIVE,فارماسيريس ف-فلويد فونداتيون سبف50+ 01 إفوري بروتيكتيفي-كورريكتيفي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,285.0
PHARMACERIS F-FLUID FOUNDATION SPF50+ 02 SAND PROTECTIVE-CORRECTIVE,فارماسيريس ف-فلويد فونداتيون سبف50+ 02 ساند بروتيكتيفي-كورريكتيفي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,285.0
PHARMACERIS F-MILD FLUID FOUNDATION SPF20 01 IVORY INTENSE COVERAGE,فارماسيريس ف-ميلد فلويد فونداتيون سبف20 01 إفوري إنتينسي كوفيراجي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,250.0
PHARMACERIS F-MILD FLUID FOUNDATION SPF20 02 SAND INTENSE COVERAGE,فارماسيريس ف-ميلد فلويد فونداتيون سبف20 02 ساند إنتينسي كوفيراجي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,250.0
PHARMACERIS F-MILD FLUID FOUNDATION SPF20 03 BRONZE INTENSE COVERAGE,فارماسيريس ف-ميلد فلويد فونداتيون سبف20 03 برونزي إنتينسي كوفيراجي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,250.0
PHARMACERIS H-KERATINEUM HAIR SHAMPOO 250 ML,فارماسيريس ه-كيراتينيوم هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,180.0
PHARMACERIS H-NUTRIGIN HAIR CONDITIONER 150 ML,فارماسيريس ه-نوتريجين هاير كونديتيونير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,UNKNOWN,175.0
PHARMACERIS H-NUTRIMELIN HAIR SHAMPOO 250 ML,فارماسيريس ه-نوتريميلين هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,180.0
PHARMACERIS H-PURIN DRY DANDRUFF SHAMPOO 250 ML,فارماسيريس ه-بورين دري داندروفف,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,160.0
PHARMACERIS H-PURIN OILY DANDRUFF SHAMPOO 250 ML,فارماسيريس ه-بورين أويلي داندروفف,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,160.0
PHARMACERIS H-SEBOPURIN HAIR SHAMPOO 250 ML,فارماسيريس ه-سيبوبورين هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,175.0
PHARMACERIS H-SENSITONIN HAIR SHAMPOO 250 ML,فارماسيريس ه-سينسيتونين هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,180.0
PHARMACERIS H-STIMUCLARIS HAIR SHAMPOO 250 ML,فارماسيريس ه-ستيموكلاريس هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,250.0
PHARMACERIS H-STIMUFORTEN HAIR SPRAY 125 ML,فارماسيريس ه-ستيموفورتين هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,SPRAY,325.0
PHARMACERIS H-STIMULINUM HAIR CONDITIONER 150 ML,فارماسيريس ه-ستيمولينوم هاير كونديتيونير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,UNKNOWN,200.0
PHARMACERIS H-STIMUPEEL TECHNOLOGY CLEANSING PEEL 125 ML,فارماسيريس ه-ستيموبيل تيتشنولوجي كليانسينج بيل,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,300.0
PHARMACERIS H-STIMUPURIN HAIR SHAMPOO 250 ML,فارماسيريس ه-ستيموبورين هاير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,HAIR CARE,TOPICAL,185.0
PHARMACERIS S-HYDRO-LIPID & PROTECTIVE FACE CREAM SPF50+ 50 ML,فارماسيريس س-هيدرو-ليبيد & بروتيكتيفي فاسي سبف50+,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SUN BLOCK,TOPICAL,249.0
PHARMACERIS S-HYDRO-LIPID PROTECTIVE BODY LOTION SPF 50+ 150 ML,فارماسيريس س-هيدرو-ليبيد بروتيكتيفي بودي سبف 50+,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SUNBLOCK,UNKNOWN,329.0
PHARMACERIS S-PROTECTIVE DRY OIL SPF 50+ SPRAY 200 ML,فارماسيريس س-بروتيكتيفي دري أويل سبف 50+,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SUNBLOCK,UNKNOWN,389.0
PHARMACERIS S-SAFE PROTECTIVE FACE CREAM CHILDREN SPF50+ 50 ML,فارماسيريس س-سافي بروتيكتيفي فاسي تشيلدرين سبف50+,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SUN BLOCK,TOPICAL,299.0
PHARMACERIS S-SUN PROTECTION FACE AND BODY CREAM CHILDREN SPF50+ 125 ML,فارماسيريس س-سون بروتيكتيون فاسي أند بودي تشيلدرين سبف50+,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SUN BLOCK,TOPICAL,299.0
PHARMACERIS T ANTI-ACNE RETINOL NIGHT CREAM 40 ML,فارماسيريس ت أنتي-أكني ريتينول نيغت,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,350.0
PHARMACERIS T NORMALIZING FACE TONER 200 ML,فارماسيريس ت نورماليزينج فاسي تونير,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,UNKNOWN,165.0
PHARMACERIS T-BODY-SEBOSTATIC GEL 200 ML,فارماسيريس ت-بودي-سيبوستاتيك,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,ANTI-ACNE,TOPICAL,130.0
PHARMACERIS T-OCTOPIROX SOOTHING FACE CREAM SPF15 30 ML,فارماسيريس ت-أوكتوبيروكس سوثينج فاسي سبف15,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,195.0
PHARMACERIS T-PURI-SEBOGEL CLEANSING FACE GEL 190 ML,فارماسيريس ت-بوري-سيبوجيل كليانسينج فاسي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,170.0
PHARMACERIS T-PURI-SEBOSTATIC FACE FOAM 150 ML,فارماسيريس ت-بوري-سيبوستاتيك فاسي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,165.0
PHARMACERIS T-SEBO-ALMOND PEEL 10% FACE CREAM 50 ML,فارماسيريس ت-سيبو-ألموند بيل 10% فاسي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,210.0
PHARMACERIS T-SEBO-ALMOND-CLARIS 3% BACTERIOSTATIC SOL. 190 ML,فارماسيريس ت-سيبو-ألموند-كلاريس 3% باكتيريوستاتيك,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,UNKNOWN,160.0
PHARMACERIS T-SEBO-MICELLAR ANTIBACTERIAL SOLUTION 200 ML,فارماسيريس ت-سيبو-ميسيللار أنتيباكتيريال,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,UNKNOWN,125.0
PHARMACERIS T-SEBO-MOISTATIC SPF 30 FACE CREAM 50 ML,فارماسيريس ت-سيبو-مويستاتيك سبف 30 فاسي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,MOISTURIZING TOPICAL,TOPICAL,185.0
PHARMACERIS T-SEBOSTATIC DAY ANTI-ACNE NORMALIZING FACE CREAM SPF20 50 ML,فارماسيريس ت-سيبوستاتيك داي أنتي-أكني نورماليزينج فاسي سبف20,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,SKIN CARE,TOPICAL,179.0
PHARMACERIS W-ANTI-DARK CIRCLES CORRECTIVE EYE CREAM OPTI-ALBUCIN 15 ML,فارماسيريس و-أنتي-دارك سيركليس كورريكتيفي إيي أوبتي-ألبوسين,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,EYE CONTOUR,UNKNOWN,190.0
PHARMACERIS W-RADIANCE BOOST DUOACTION WHITENING SERUM ALBUCIN-MELA 30 ML,فارماسيريس و-راديانسي بوست دوواكتيون وهيتينينج سيروم ألبوسين-ميلا,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,WHITENING TOPICAL,UNKNOWN,300.0
PHARMACERIS W-WHITENING ACTIVE CONCENTRATE 5% VIT C ALBUCIN-C 30 ML,فارماسيريس و-وهيتينينج أكتيفي كونسينتراتي 5% فيت ك ألبوسين-ك,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,WHITENING TOPICAL,UNKNOWN,295.0
PHARMACERIS W-WHITENING CLEAR TONER PURI-ALBUCIN II 200 ML,فارماسيريس و-وهيتينينج كليار تونير بوري-ألبوسين إي,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,WHITENING TOPICAL,UNKNOWN,150.0
PHARMACERIS W-WHITENING ESSENCE CORRECTING BROWN MARKS ALBUCIN-PP 3*4ML,فارماسيريس و-وهيتينينج إسسينسي كورريكتينج بروون ماركس ألبوسين-بب 3,,LABORATORIUM KOSMETYCZNE DR IRENA ERIS SP. Z O.O. > MULTITRADE,WHITENING TOPICAL,UNKNOWN,250.0
